SALES_ORDER,SAP_INSTANCE,CREATED_ON,ENTRY_TIME,CREATION_TIMESTAMP,CREATED_BY,VALID_FROM,VALID_TO,DOCUMENT_DATE,DOCUMENT_CAT,TRANSACT_GROUP,SALES_DOC_TYPE,ORDER_REASON,WARRANTY_START,COLLECTIVE_NO,DELIVERY_BLOCK,BILLING_BLOCK,NET_VALUE,DOC_CURRENCY,SALES_ORG,DISTR_CHANNEL,DIVISION,VALID_FROM_OUT_AGR,VALID_TO_OUT_AGR,DOC_CONDITION,REQUEST_DLV_DT,PROP_DATE_TYPE,COMPLETE_DLV,ORIGINAL_SYSTEM,PRIC_PROCEDURE,SHIPPING_COND,ORD_REL_BILL_TY,PROBABILITY,DESCRIPTION,PO_NUMBER,PUR_ORD_TYPE,PO_DATE,SUPPLEMENT,YOUR_REFERENCE,ORDERER_NAME,TELEPHONE,LAST_CONTACT_DT,SOLD_TO_PARTY,COST_CENTER,STATS_CURRENCY,CHANGED_ON,CUSTOMER_GRP_1,CO_AREA,EXCH_RATE_TYPE,CRED_CONTR_AREA,CREDIT_ACCOUNT,CUST_CRED_GRP,CRED_REP_GRP,RISK_CATEGORY,CURRENCY,RELEASE_DATE,NEXT_CHECK,NEXT_DATE,CREDIT_VALUE,HIER_TYPE_PRICING,USAGE,REFERENCE_DOC,CCODE_TO_BE_BILLED,ALT_TAX_CLASS,REFERENCE,ASSIGNMENT,PREC_DOC_CATEG,SEARCH_PROCED,PICK_UP_DATE,PICK_UP_TIME_1,PICK_UP_TIME_2,PAYM_CARD_PLAN_NO,REQ_DELY_TIME,TAX_DEST_CNTRY,TAX_DEPART_CTY,CML_DLV_ORD_QTY_DATE,MAT_AVAIL_DATE,INT_ID,CONTAINS_DG,CRM_GUID,BILLING_PLAN_TYPE,POSTING_DATE,EXPIRATION_DATE,RESOLUTION_DATE,EBS_SO_FOE_HEADER,EBS_BILLING_W_DELIV,EBS_PRICE_DATE_01,EBS_PRICE_GROUP_01,EBS_PRC_GRP_04_SH,EBS_DELIVER_ON_ONLY,PALLET_JACK_RQD,EBS_LIFT_GATE_RQD,EBS_DELIVERY_APPT_RQD,EBS_DLV_CONT_PERS,EBS_DLV_CONT_INFO,CUST_LEAD_DIV,EBS_VISTEX_AGREEMENT,EBS_PRICING_PROGRAM,EBS_CORPORATE_SIGNED,EBS_LEASE_OWNER,EBS_AM_RESERVED_1,EBS_AM_RESERVED_2,EDI_BILL_TO,EBS_NEW_MACHINE,EBS_INSIDE_DELIVERY,EBS_NO_OF_STAIRS,EBS_WBRA_NUMBER,EBS_NIGHT_TIME_DELVY,EBS_DLV_CONTACT2,EBS_DLV_CONT_INFO2,EBS_RESIDENTIAL_CUST,EBS_COST_CENTER,CONT_PERS_EMAIL,INDICATOR,EDI_TRADING_PARTNER,EDI_SOLD_TO,EDI_SHIP_TO,IDOC_NUMBER,SOURCE_DOC_TYPE,SOURCE_DOC_NO,CUST_DIV_SHIP_TO,ATTRIBUTE_10,CUST_MOP_CAT_SHIP_TO,PRICE_GROUP,CUSTOMER_GROUP,PRICE_LIST,INCOTERMS,INCOTERMS_2,ORDER_COMBINAT,INVOICING_DATES,INV_LIST_SCHED,MANUAL_INV_MAINT,EXCH_RATE_ACCT,FIXED_VAL_DATE,PAYMENT_TERMS,PAYMENT_METHOD,ACC_ASSMT_GRP_CUST,EXCHANGE_RATE,PRICING_DATE,BILLING_DATE,SERV_RENDERED,EXCH_RATE_STATS,BILLING_PLAN_NO,PAYM_GUAR_PROC,SHIP_TO_PO_NO,PURCH_ORDER_DATE,PURCH_ORDER_TYPE,SHIP_TO_YOUR_REFERENCE,TRANSLATN_DATE,TRANSLATN_DATE_2,CONDITION_GRP_1,CONDITION_GRP_2,CONDITION_GRP_3,CONDITION_GRP_4,CONDITION_GRP_5,INDEX_BASE_DATE,CUST_PO_NUMBER,ACCTG_INDICATOR,POD_RELEVANT,CGPL_GUID,DATA_AGING_FILTER,BOOKING_FROM,BOOKING_TO,SHIPPING_FROM,SHIPPING_TO,BILLING_FROM,BILLING_TO,EXERCISE_TO,EXERCISE_FROM,PER_OF_PERF_START,PER_OF_PERF_END,MANDATE_REF,CONFIRMED,DELIVERY_STAT,OVERALL_DLV_ST,TOTAL_GDS_MVMT_STAT,BILLING_STAT,BILL_STAT_ORDER,POSTING_STAT,REJECTION_STAT,OVERALL_STAT,OVR_PICK_STAT,OVERALL_WM_STAT,ITEM_DATA,ITEM_DELIV_DATA,ITEM_BILL_DATA,HEADER_DATA,HEADER_DLV_DATA,HEADER_BILL_DAT,PRICING,DOCUMENT_OBJECT,TOTALS_STAT,INV_LIST_STAT,PACKING_STAT,DYNAMIC_CHECK,MAX_VALUE,OPEN_ITEMS,OLDEST_ITEM,PAYMENT_CARD,OVERALL_CRED_STAT,TRANSP_PLAN_STAT,PICK_CONFIRM_STAT,ALE_CONFIRM_STAT,SAP_RELEASE,IT_DATA_PACKAG,IT_DATA_PCK_PUTAWAY,ITEM_DATA_GM,HEAD_DATA_PCKG,HEAD_DATA_PCK_PUTAWY,HEAD_DATA_GM,OV_BILL_BLK_STAT,DLV_BLK_STAT,OVERALL_BLK_ST,POD_STAT,SAP_CRED_MGMT,CRMA_TE_STAT,SOLD_TO_ADDRESS,SHIP_TO_PARTY,SHIP_TO_ADDRESS,SHIP_TO_NAME_1,BILL_TO_PARTY,SALES_ORG_REGION,ITEM_COUNT,ORDER_STATUS
0019924417,EBS,2023-01-11,05:43:12,2023-01-11T05:43:12.000Z,BISWAS1,,,2023-01-11,C,0,ZSOR,,,,,,0,USD,US10,10,00,,,0113217654,2023-01-11,1,,  A,ZVUSS1,S0,ZF1,100,,,,,,,,4076017130,,0507531411,,USD,,49,GLOB,M,US10,0507531411,,,US3,USD,,,2023-01-11,0,A,,,US10,,,,,ZSD007,,00:00:00,00:00:00,,00:00:00,,US,,2022-12-28,ovcFOsvo7ksajAGM953JYG,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10,,NA0,,,00,DDP,EBS DDP,,,,,0,,I036,,Z1,1,2023-01-11,2023-01-11,,1,,ZPAYME,,,,,,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,C,A,A,,,,,A,B,,,A,A,A,C,C,C,C,A,,,,,,,,,A,,,,740,,,,,,,,,,,A,A,0019442794,0507531411,0019442794,MIA'S ITALIAN KITCHEN,0507531411,NA,1,20
0019924418,EBS,2023-01-12,05:08:24,2023-01-12T05:08:24.000Z,RAVATAV,,,2023-01-12,C,0,ZSVC,,,,ZQ,ZQ,0,USD,US10,10,00,,,0113357709,2023-01-12,1,,,ZVUSC1,S0,ZF1,100,,,,,,,,9794582300,,0507343746,,USD,2023-01-16,49,GLOB,M,US10,0507343670,,,US3,USD,,,2023-03-02,0,A,,,US10,,,,,,,00:00:00,00:00:00,,00:00:00,,US,,2023-01-03,xqQNZjbW7jsapItRS9C5oG,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,55,,NAW,,,00,DDP,EBS DDP,,,,,0,,I036,,Z1,1,2023-01-12,2023-01-12,,1,,ZPAYME,,,,,,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,A,A,A,,,,,A,B,,,A,A,A,C,C,C,C,A,,,,,,,,,A,,,,740,,,,,,,C,C,C,,A,A,0018901235,0507343746,0018901235,Fujifilm Diosynth Biotech TX,0507343670,NA,1,20
0019924419,EBS,2023-01-12,05:11:57,2023-01-12T05:11:57.000Z,PATHASH,,,2023-01-12,C,0,ZSVC,,,,ZQ,ZQ,0,USD,US10,10,00,,,0113217632,2023-01-12,1,,,ZVUSC1,S0,ZF1,100,,,,,,,,9794582300,,0507343746,,USD,,49,GLOB,M,US10,0507343670,,,US3,USD,,,2023-02-27,0,A,,,US10,,,,,,,00:00:00,00:00:00,,00:00:00,,US,,2023-01-03,umEWHhCE7ksapJsfv}QR2m,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,55,,NAW,,,00,DDP,EBS DDP,,,,,0,,I036,,Z1,1,2023-01-12,2023-01-12,,1,,ZPAYME,,,,,,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,A,A,A,,,,,A,B,,,A,A,A,C,C,C,C,A,,,,,,,,,A,,,,740,,,,,,,C,C,C,,A,A,0018901235,0507343746,0018901235,Fujifilm Diosynth Biotech TX,0507343670,NA,1,20
0019924420,EBS,2023-01-12,05:23:10,2023-01-12T05:23:10.000Z,PATHASH,,,2023-01-12,C,0,ZSVC,,,,ZQ,ZQ,0,USD,US10,10,00,,,0113217633,2023-01-12,1,,,ZVUSC1,S0,ZF1,100,,,,,,,,9794582300,,0507343746,,USD,,49,GLOB,M,US10,0507343670,,,US3,USD,,,2023-02-27,0,A,,,US10,,,,,,,00:00:00,00:00:00,,00:00:00,,US,,2023-01-03,umEWHhCE7ksapM}2Kr1U80,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,55,,NAW,,,00,DDP,EBS DDP,,,,,0,,I036,,Z1,1,2023-01-12,2023-01-12,,1,,ZPAYME,,,,,,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,A,A,A,,,,,A,B,,,A,A,A,C,C,C,C,A,,,,,,,,,A,,,,740,,,,,,,C,C,C,,A,A,0018901235,0507343746,0018901235,Fujifilm Diosynth Biotech TX,0507343670,NA,1,20
0019924421,EBS,2023-01-12,09:24:42,2023-01-12T09:24:42.000Z,BISWAS1,,,2023-01-12,C,0,ZSOR,,,,,,31.95,USD,US10,10,00,,,0113377571,2023-01-12,1,,  A,ZVUSS1,S0,ZF1,100,,,,,,,,5634417112,,0506780896,,USD,,49,GLOB,M,US10,0506780896,,,US1,USD,,,2023-01-12,0,A,,,US10,,,,,ZSD007,,00:00:00,00:00:00,,00:00:00,,US,,2023-01-03,xqQNZjbW7ksaqQUBcv3u1m,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,14,,NA0,,,00,DDP,EBS DDP,,,,,0,,I036,,Z1,1,2023-01-12,2023-01-12,,1,,ZPAYME,,,,,,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,,C,C,,,,,A,C,,,C,C,C,C,C,C,C,A,,,,,,,,,A,A,,,740,,,,,,,,,,,A,A,0017198380,0506780896,0017198380,ISLE OF CAPRI CASINO,0506780896,NA,1,50
0019924422,EBS,2023-01-12,12:19:49,2023-01-12T12:19:49.000Z,BAUERDA,,,2023-01-12,C,0,ZSOR,,,,,,20425.14,USD,US10,40,00,,,0113377536,2022-11-28,1,,  A,ZVUSK1,S0,ZF1,100,,,,,,,,3157893054,,0503378401,,USD,,49,GLOB,M,US10,0503378401,,,US3,USD,,,2023-01-30,0,A,,0130310539,US10,,,,C,ZSD007,,00:00:00,00:00:00,,00:00:00,,US,,2022-11-16,ovcFOsvo7jsarBPpdTU1MW,X,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10,,NA0,,,00,DDP,EBS DDP,,,,,0,,I036,,Z6,1,2022-11-14,2022-11-28,,1,,ZPAYME,,,,,,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,A,A,A,,,,,A,B,,,C,C,C,C,C,C,C,A,,,,,,,,,A,,,,740,,,,,,,,,,,A,A,0008453747,0503378401,0008453747,UNIVAR USA INCORPORATED,0503378401,NA,1,20
0019924423,EBS,2023-01-12,15:55:51,2023-01-12T15:55:51.000Z,DEYJO,,,2023-01-12,C,0,ZSOR,,,,,,0,USD,US10,10,00,,,0113377538,2022-01-14,1,,  A,ZVUSS1,S0,ZF1,100,,Test-MD04,,,,,,6085275850,,0503330267,,USD,2023-01-26,49,GLOB,M,US10,0503341311,,,US3,USD,,,,0,A,,0129355618,US10,,,,C,ZSD007,,00:00:00,00:00:00,,00:00:00,,US,,2022-01-13,ovcFOsvo7ksas7mbyhBRsm,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,NAC,,,00,DDP,EBS DDP,,,,,0,,I224,,Z1,1,2022-08-02,2022-01-14,,1,,ZPAYME,,,,,,,,,,,,,TEST-MD04,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,,A,C,,,,,C,C,,,C,C,C,C,C,C,C,A,,,,,,,,,B,,,,740,,,,,,,,,C,,B,A,0008363497,0503330259,0008363613,NEW GLARUS BREWING CO,0503343593,NA,1,60
0019924424,EBS,2023-01-12,16:02:43,2023-01-12T16:02:43.000Z,DEYJO,,,2023-01-12,C,0,ZSOR,,,,,,0,USD,US10,10,00,,,0113377539,2022-01-14,1,,  A,ZVUSS1,S0,ZF1,100,,Test-MD04-2,,,,,,6085275850,,0503330267,,USD,2023-01-26,49,GLOB,M,US10,0503341311,,,US3,USD,,,,0,A,,0019924423,US10,,,,C,ZSD007,,00:00:00,00:00:00,,00:00:00,,US,,2022-01-10,ovcFOsvo7ksas9hcNMZVXW,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,NAC,,,00,DDP,EBS DDP,,,,,0,,I224,,Z1,1,2022-08-02,2022-01-14,,1,,ZPAYME,,,,,,,,,,,,,TEST-MD04-2,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,,A,C,,,,,C,C,,,C,C,C,C,C,C,C,A,,,,,,,,,B,,,,740,,,,,,,,,C,,B,A,0008363497,0503330259,0008363613,NEW GLARUS BREWING CO,0503343593,NA,1,60
0019924425,EBS,2023-01-12,16:13:21,2023-01-12T16:13:21.000Z,DEYJO,,,2023-01-12,C,0,ZSOR,,,,,,670.07,USD,US10,10,00,,,0113377540,2023-01-17,1,,  A,ZVUSS1,S0,ZF1,100,,Test-MD04-3,,,,,,3153633870,,0503342423,,USD,,49,GLOB,M,US10,0503341144,,,US3,USD,,,2023-01-13,0,A,,0130406817,US10,,,,C,ZSD007,,00:00:00,00:00:00,,00:00:00,,US,,2023-01-11,ovcFOsvo7jsasCfiePg1{0,X,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,NAC,,,00,DDP,EBS DDP,,,,,0,,I224,,Z1,1,2023-01-10,2023-01-17,,1,,ZPAYME,,,,,,,,,,,,,TEST-MD04-3,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,A,A,A,,,,,A,B,,,C,C,C,C,C,C,C,A,,,,,,,,,A,,,,740,,,,,,,,,,,A,A,0008385558,0503342424,0008385507,HP HOOD INC,0503342423,NA,1,20
0019924426,EBS,2023-01-12,16:41:11,2023-01-12T16:41:11.000Z,DEYJO,,,2023-01-12,C,0,ZSOR,,,,,,0,USD,US10,10,00,,,0113377541,2022-01-14,1,,  A,ZVUSS1,S0,ZF1,100,,Test-MD04-4,,,,,,6085275850,,0503330267,,USD,2023-01-26,49,GLOB,M,US10,0503341311,,,US3,USD,,,,0,A,,0019924424,US10,,,,C,ZSD007,,00:00:00,00:00:00,,00:00:00,,US,,2022-01-10,ovcFOsvo7jsasKRHne38e0,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,NAC,,,00,DDP,EBS DDP,,,,,0,,I224,,Z1,1,2022-08-02,2022-01-14,,1,,ZPAYME,,,,,,,,,,,,,TEST-MD04-4,,,AAAAAAAAAAAAAAAAAAAAAA==,,,,,,,,,,,,,,A,C,,,,,C,C,,,C,C,C,C,C,C,C,A,,,,,,,,,B,,,,740,,,,,,,,,C,,B,A,0008363497,0503330259,0008363613,NEW GLARUS BREWING CO,0503343593,NA,1,60
